DIA,MES,HR,TEMP
14,7,123.8,24.71
14,7,123.68,24.71
14,7,123.53,24.71
14,7,123.45,24.71
14,7,123.35,24.71
14,7,123.3,24.71
14,7,123.2,24.71
14,7,123.12,24.71
14,7,123.07,24.71
14,7,123.1,24.71
14,7,123.13,24.69
14,7,123.23,24.69
14,7,123.33,24.69
14,7,123.42,24.69
14,7,123.48,24.67
14,7,123.6,24.67
14,7,123.57,24.67
14,7,123.5,24.67
14,7,123.4,24.69
14,7,123.38,24.69
14,7,123.37,24.69
14,7,123.18,24.69
14,7,123.03,24.67
14,7,122.88,24.67
14,7,122.72,24.67
14,7,122.53,24.67
14,7,122.37,24.71
14,7,122.18,24.71
14,7,121.92,24.71
14,7,121.65,24.71
14,7,121.37,24.69
14,7,120.88,24.69
14,7,120.4,24.69
14,7,119.95,24.69
14,7,119.52,24.69
14,7,119.02,24.69
14,7,118.58,24.69
14,7,118.15,24.69
14,7,117.75,24.69
14,7,117.52,24.69
14,7,117.3,24.69
14,7,117.17,24.69
14,7,117.18,24.69
14,7,117.15,24.69
14,7,117.12,24.69
14,7,117.07,24.69
14,7,117.03,24.67
14,7,117.03,24.67
14,7,117.03,24.67
14,7,117.03,24.67
14,7,117.05,24.67
14,7,117.07,24.67
14,7,117.15,24.67
14,7,117.23,24.67
14,7,117.3,24.69
14,7,117.4,24.69
14,7,117.48,24.69
14,7,117.6,24.69
14,7,117.67,24.67
14,7,117.72,24.67
14,7,117.78,24.67
14,7,117.87,24.67
14,7,118,24.69
14,7,117.9,24.69
14,7,117.82,24.69
14,7,117.7,24.69
14,7,117.57,24.69
14,7,117.4,24.69
14,7,117.2,24.69
14,7,116.98,24.69
14,7,116.77,24.69
14,7,116.5,24.69
14,7,116.2,24.69
14,7,115.9,24.69
14,7,115.57,24.67
14,7,115.17,24.67
14,7,114.88,24.67
14,7,114.62,24.67
14,7,114.4,24.65
14,7,114.1,24.65
14,7,113.87,24.65
14,7,113.8,24.65
14,7,113.73,24.67
14,7,113.67,24.67
14,7,113.62,24.67
14,7,113.62,24.67
14,7,113.6,24.65
14,7,113.57,24.65
14,7,113.62,24.65
14,7,113.65,24.65
14,7,113.72,24.69
14,7,113.85,24.69
14,7,113.98,24.69
14,7,114.1,24.69
14,7,114.2,24.67
14,7,114.33,24.67
14,7,114.48,24.67
14,7,114.67,24.67
14,7,114.88,24.67
14,7,115.05,24.67
14,7,115.15,24.67
14,7,115.2,24.67
14,7,115.02,24.67
14,7,114.83,24.67
14,7,114.67,24.67
14,7,114.58,24.67
14,7,114.53,24.67
14,7,114.4,24.67
14,7,114.3,24.67
14,7,114.22,24.67
14,7,114.13,24.65
14,7,114.07,24.65
14,7,113.83,24.65
14,7,113.62,24.65
14,7,113.43,24.65
14,7,113.2,24.65
14,7,113.03,24.65
14,7,112.83,24.65
14,7,112.6,24.67
14,7,112.37,24.67
14,7,112.13,24.67
14,7,111.78,24.67
14,7,111.42,24.67
14,7,111.28,24.67
14,7,111.15,24.67
14,7,111.02,24.67
14,7,110.87,24.69
14,7,110.73,24.69
14,7,110.6,24.69
14,7,110.32,24.69
14,7,110.1,24.67
14,7,109.95,24.67
14,7,109.77,24.67
14,7,109.6,24.67
14,7,109.45,24.67
14,7,109.32,24.67
14,7,109.2,24.67
14,7,109.08,24.67
14,7,108.98,24.65
14,7,108.82,24.65
14,7,108.63,24.65
14,7,108.48,24.65
14,7,108.3,24.67
14,7,108.12,24.67
14,7,107.92,24.67
14,7,107.72,24.67
14,7,107.5,24.67
14,7,107.3,24.67
14,7,107.1,24.67
14,7,106.95,24.67
14,7,106.8,24.67
14,7,106.6,24.67
14,7,106.38,24.67
14,7,106.2,24.67
14,7,106.05,24.65
14,7,105.92,24.65
14,7,105.73,24.65
14,7,105.52,24.65
14,7,105.28,24.65
14,7,105.08,24.65
14,7,104.93,24.65
14,7,104.78,24.65
14,7,104.77,24.65
14,7,104.75,24.65
14,7,104.7,24.65
14,7,104.55,24.65
14,7,104.42,24.67
14,7,104.3,24.67
14,7,104.13,24.67
14,7,103.95,24.67
14,7,103.78,24.65
14,7,103.55,24.65
14,7,103.45,24.65
14,7,103.32,24.65
14,7,103.17,24.63
14,7,103.03,24.63
14,7,102.85,24.63
14,7,102.68,24.63
14,7,102.58,24.63
14,7,102.48,24.63
14,7,102.4,24.63
14,7,102.45,24.63
14,7,102.5,24.65
14,7,102.52,24.65
14,7,102.53,24.65
14,7,102.57,24.65
14,7,102.63,24.63
14,7,102.67,24.63
14,7,102.7,24.63
14,7,102.85,24.63
14,7,102.98,24.65
14,7,103.07,24.65
14,7,103.17,24.65
14,7,103.3,24.65
14,7,103.52,24.63
14,7,103.73,24.63
14,7,103.95,24.63
14,7,104.18,24.63
14,7,104.38,24.63
14,7,104.63,24.63
14,7,104.92,24.63
14,7,105.18,24.63
14,7,105.45,24.63
14,7,105.72,24.63
14,7,106.05,24.63
14,7,106.38,24.63
14,7,106.73,24.63
14,7,107.05,24.63
14,7,107.35,24.63
14,7,107.65,24.63
14,7,107.9,24.61
14,7,108.13,24.61
14,7,108.38,24.61
14,7,108.42,24.61
14,7,108.47,24.65
14,7,108.5,24.65
14,7,108.53,24.65
14,7,108.57,24.65
14,7,108.57,24.65
14,7,108.53,24.65
14,7,108.47,24.65
14,7,108.42,24.65
14,7,108.33,24.63
14,7,108.23,24.63
14,7,108.1,24.63
14,7,108.02,24.63
14,7,107.93,24.65
14,7,107.87,24.65
14,7,107.85,24.65
14,7,107.85,24.65
14,7,107.83,24.63
14,7,107.87,24.63
14,7,107.87,24.63
14,7,107.92,24.63
14,7,107.97,24.67
14,7,107.98,24.67
14,7,108.03,24.67
14,7,108.08,24.67
14,7,108.13,24.63
14,7,108.08,24.63
14,7,108.02,24.63
14,7,107.93,24.63
14,7,107.85,24.63
14,7,107.78,24.63
14,7,107.67,24.63
14,7,107.5,24.63
14,7,107.3,24.59
14,7,107.15,24.59
14,7,107.02,24.59
14,7,106.83,24.59
14,7,106.68,24.63
14,7,106.65,24.63
14,7,106.58,24.63
14,7,106.5,24.63
14,7,106.33,24.63
14,7,106.15,24.63
14,7,105.92,24.63
14,7,105.6,24.63
14,7,105.33,24.61
14,7,105.12,24.61
14,7,104.83,24.61
14,7,104.53,24.61
14,7,104.22,24.61
14,7,103.87,24.61
14,7,103.33,24.61
14,7,103.27,24.61
14,7,103.17,24.61
14,7,103.12,24.61
14,7,103.08,24.61
14,7,102.97,24.61
14,7,102.9,24.63
14,7,102.83,24.63
14,7,102.77,24.63
14,7,102.85,24.63
14,7,102.88,24.61
14,7,102.9,24.61
14,7,102.92,24.61
14,7,102.95,24.61
14,7,103.02,24.63
14,7,103.08,24.63
14,7,103.2,24.63
14,7,103.22,24.63
14,7,103.13,24.63
14,7,103.08,24.63
14,7,103.07,24.63
14,7,103.08,24.63
14,7,103.07,24.63
14,7,103,24.63
14,7,102.85,24.63
14,7,102.72,24.63
14,7,102.53,24.61
14,7,102.37,24.61
14,7,102.15,24.61
14,7,101.9,24.61
14,7,101.67,24.63
14,7,101.47,24.63
14,7,101.25,24.63
14,7,101.03,24.63
14,7,100.85,24.59
14,7,100.77,24.59
14,7,100.68,24.59
14,7,100.65,24.59
14,7,100.57,24.59
14,7,100.53,24.59
14,7,100.57,24.59
14,7,100.67,24.59
14,7,100.8,24.61
14,7,100.92,24.61
14,7,101.03,24.61
14,7,101.17,24.61
14,7,101.23,24.59
14,7,101.22,24.59
14,7,101.22,24.59
14,7,101.2,24.59
14,7,101.13,24.59
14,7,101.13,24.59
14,7,101.17,24.59
14,7,101.3,24.59
14,7,101.42,24.61
14,7,101.57,24.61
14,7,101.7,24.61
14,7,101.87,24.61
14,7,102.1,24.61
14,7,102.37,24.61
14,7,102.77,24.61
14,7,102.68,24.61
14,7,102.65,24.57
14,7,102.58,24.57
14,7,102.53,24.57
14,7,102.47,24.57
14,7,102.33,24.61
14,7,102.2,24.61
14,7,102.07,24.61
14,7,101.97,24.61
14,7,101.85,24.59
14,7,101.72,24.59
14,7,101.58,24.59
14,7,101.43,24.59
14,7,101.25,24.59
14,7,101.08,24.59
14,7,100.85,24.59
14,7,100.75,24.59
14,7,100.8,24.61
14,7,100.85,24.61
14,7,100.93,24.61
14,7,101.12,24.61
14,7,101.23,24.57
14,7,101.4,24.57
14,7,101.65,24.57
14,7,101.87,24.57
14,7,102.12,24.61
14,7,102.38,24.61
14,7,102.72,24.61
14,7,103.03,24.61
14,7,103.32,24.59
14,7,103.58,24.59
14,7,103.85,24.59
14,7,104.12,24.59
14,7,104.37,24.63
14,7,104.62,24.63
14,7,104.82,24.63
14,7,104.92,24.63
14,7,105.03,24.59
14,7,105.12,24.59
14,7,105.38,24.59
14,7,105.6,24.59
14,7,105.82,24.57
14,7,106.02,24.57
14,7,106.18,24.57
14,7,106.4,24.57
14,7,106.62,24.59
14,7,106.78,24.59
14,7,106.98,24.59
14,7,107.18,24.59
14,7,107.48,24.57
14,7,107.77,24.57
14,7,108.08,24.57
14,7,108.4,24.57
14,7,108.78,24.59
14,7,109.08,24.59
14,7,109.38,24.59
14,7,109.7,24.59
14,7,109.97,24.59
14,7,110.23,24.59
14,7,110.48,24.59
14,7,110.73,24.59
14,7,110.98,24.57
14,7,111.28,24.57
14,7,111.55,24.57
14,7,111.88,24.57
14,7,112.25,24.61
14,7,112.6,24.61
14,7,112.95,24.61
14,7,113.33,24.61
14,7,113.75,24.59
14,7,114.15,24.59
14,7,114.58,24.59
14,7,115.02,24.59
14,7,115.42,24.59
14,7,115.82,24.59
14,7,116.28,24.59
14,7,116.7,24.59
14,7,117.12,24.59
14,7,117.57,24.59
14,7,118.02,24.59
14,7,118.3,24.59
14,7,118.72,24.57
14,7,119.12,24.57
14,7,119.47,24.57
14,7,119.78,24.57
14,7,120.12,24.59
14,7,120.43,24.59
14,7,120.73,24.59
14,7,121.05,24.59
14,7,121.35,24.57
14,7,121.62,24.57
14,7,121.88,24.57
14,7,122.15,24.57
14,7,122.4,24.57
14,7,122.6,24.57
14,7,122.82,24.57
14,7,123.05,24.57
14,7,123.3,24.57
14,7,123.52,24.57
14,7,123.52,24.57
14,7,123.52,24.57
14,7,123.55,24.57
14,7,123.67,24.57
14,7,123.78,24.57
14,7,123.93,24.57
14,7,124.1,24.55
14,7,124.28,24.55
14,7,124.48,24.55
14,7,124.65,24.55
14,7,124.8,24.57
14,7,124.92,24.57
14,7,125.02,24.57
14,7,125.07,24.57
14,7,125.05,24.57
14,7,125.02,24.57
14,7,125,24.57
14,7,124.92,24.57
14,7,124.85,24.57
14,7,124.8,24.57
14,7,124.75,24.57
14,7,124.72,24.57
14,7,124.68,24.57
14,7,124.63,24.57
14,7,124.58,24.57
14,7,124.52,24.57
14,7,124.4,24.57
14,7,124.3,24.57
14,7,124.18,24.57
14,7,124.05,24.57
14,7,123.85,24.55
14,7,123.63,24.55
14,7,123.4,24.55
14,7,123.2,24.55
14,7,123.02,24.57
14,7,122.82,24.57
14,7,122.6,24.57
14,7,122.4,24.57
14,7,122.18,24.57
14,7,121.95,24.57
14,7,121.75,24.57
14,7,121.55,24.57
14,7,121.33,24.55
14,7,121.15,24.55
14,7,120.98,24.55
14,7,120.9,24.55
14,7,120.78,24.57
14,7,120.67,24.57
14,7,120.55,24.57
14,7,120.43,24.57
14,7,120.38,24.59
14,7,120.4,24.59
14,7,120.42,24.59
14,7,120.13,24.59
14,7,119.87,24.57
14,7,119.67,24.57
14,7,119.53,24.57
14,7,119.48,24.57
14,7,119.45,24.57
14,7,119.43,24.57
14,7,119.43,24.57
14,7,119.43,24.57
14,7,119.48,24.55
14,7,119.47,24.55
14,7,119.48,24.55
14,7,119.45,24.55
14,7,119.38,24.55
14,7,119.32,24.55
14,7,119.27,24.55
14,7,119.13,24.55
14,7,118.97,24.57
14,7,118.8,24.57
14,7,118.63,24.57
14,7,118.5,24.57
14,7,118.35,24.55
14,7,118.18,24.55
14,7,118.03,24.55
14,7,118.02,24.55
14,7,118,24.53
14,7,117.95,24.53
14,7,117.93,24.53
14,7,117.87,24.53
14,7,117.77,24.55
14,7,117.6,24.55
14,7,117.42,24.55
14,7,117.32,24.55
14,7,117.28,24.57
14,7,117.28,24.57
14,7,117.27,24.57
14,7,117.37,24.57
14,7,117.45,24.55
14,7,117.65,24.55
14,7,117.82,24.55
14,7,117.95,24.55
14,7,118.07,24.55
14,7,118.22,24.55
14,7,118.33,24.55
14,7,118.4,24.55
14,7,118.55,24.55
14,7,118.65,24.55
14,7,118.68,24.55
14,7,118.77,24.55
14,7,118.78,24.55
14,7,118.78,24.55
14,7,118.78,24.55
14,7,118.75,24.55
14,7,118.72,24.53
14,7,118.67,24.53
14,7,118.62,24.53
14,7,118.57,24.53
14,7,118.68,24.55
14,7,118.72,24.55
14,7,118.77,24.55
14,7,119.08,24.55
14,7,119.37,24.53
14,7,119.6,24.53
14,7,119.78,24.53
14,7,119.88,24.53
14,7,119.95,24.55
14,7,120.03,24.55
14,7,120.1,24.55
14,7,120.18,24.55
14,7,120.2,24.51
14,7,120.2,24.51
14,7,120.17,24.51
14,7,120.13,24.51
14,7,120.12,24.55
14,7,120.1,24.55
14,7,120.05,24.55
14,7,120.1,24.55
14,7,120.17,24.53
14,7,120.22,24.53
14,7,120.3,24.53
14,7,120.33,24.53
14,7,120.37,24.53
14,7,120.43,24.53
14,7,120.5,24.53
14,7,120.43,24.53
14,7,120.38,24.55
14,7,120.35,24.55
14,7,120.28,24.55
14,7,120.23,24.55
14,7,120.23,24.53
14,7,120.25,24.53
14,7,120.28,24.53
14,7,120.22,24.53
14,7,120.15,24.57
14,7,120.03,24.57
14,7,120,24.57
14,7,119.82,24.57
14,7,119.68,24.53
14,7,119.5,24.53
14,7,119.35,24.53
14,7,119.13,24.53
14,7,118.95,24.53
14,7,118.73,24.53
14,7,118.53,24.53
14,7,118.38,24.53
14,7,118.17,24.55
14,7,117.97,24.55
14,7,117.77,24.55
14,7,117.52,24.55
14,7,117.35,24.55
14,7,117.18,24.55
14,7,117.03,24.55
14,7,116.87,24.55
14,7,116.68,24.53
14,7,116.5,24.53
14,7,116.2,24.53
14,7,115.95,24.53
14,7,115.5,24.53
14,7,115.1,24.53
14,7,114.7,24.53
14,7,114.38,24.53
14,7,114.08,24.53
14,7,113.8,24.53
14,7,113.5,24.53
14,7,113.23,24.53
14,7,112.95,24.53
14,7,112.63,24.53
14,7,112.32,24.53
14,7,111.98,24.53
14,7,111.67,24.49
14,7,111.37,24.49
14,7,111.07,24.49
14,7,110.72,24.49
14,7,110.38,24.55
14,7,110.1,24.55
14,7,109.8,24.55
14,7,109.55,24.55
14,7,109.28,24.53
14,7,109.02,24.53
14,7,108.7,24.53
14,7,108.42,24.53
14,7,108.12,24.51
14,7,107.78,24.51
14,7,107.45,24.51
14,7,107.13,24.51
14,7,106.83,24.51
14,7,106.57,24.51
14,7,106.28,24.51
14,7,106,24.51
14,7,105.68,24.53
14,7,105.35,24.53
14,7,105.05,24.53
14,7,104.78,24.53
14,7,104.43,24.51
14,7,104.12,24.51
14,7,103.73,24.51
14,7,103.38,24.51
14,7,103.02,24.51
14,7,102.65,24.51
14,7,102.3,24.51
14,7,102,24.51
14,7,101.72,24.51
14,7,101.48,24.51
14,7,101.27,24.51
14,7,101.07,24.51
14,7,100.87,24.51
14,7,100.7,24.51
14,7,100.57,24.51
14,7,100.42,24.51
14,7,100.22,24.51
14,7,99.98,24.51
14,7,99.7,24.51
14,7,99.28,24.51
14,7,99.38,24.51
14,7,99.47,24.51
14,7,99.67,24.51
14,7,99.78,24.51
14,7,99.9,24.51
14,7,100.03,24.51
14,7,100.13,24.51
14,7,100.15,24.51
14,7,100.13,24.49
14,7,100.13,24.49
14,7,100.1,24.49
14,7,100.2,24.49
14,7,100.35,24.53
14,7,100.7,24.53
14,7,101.05,24.53
14,7,101.42,24.53
14,7,101.73,24.49
14,7,102.05,24.49
14,7,102.33,24.49
14,7,102.72,24.49
14,7,103.07,24.51
14,7,103.38,24.51
14,7,103.72,24.51
14,7,104.05,24.51
14,7,104.4,24.49
14,7,104.73,24.49
14,7,105.08,24.49
14,7,105.47,24.49
14,7,105.83,24.49
14,7,106.23,24.49
14,7,106.6,24.49
14,7,107,24.49
14,7,107.4,24.51
14,7,107.73,24.51
14,7,108.1,24.51
14,7,108.48,24.51
14,7,108.87,24.49
14,7,109.35,24.49
