DIA,MES,HR,TEMP
13,7,68.33,25.71
13,7,71.75,25.71
13,7,67.4,25.71
13,7,64.67,25.71
13,7,66.57,25.71
13,7,68,25.71
13,7,69,25.71
13,7,69.8,25.71
13,7,70.73,25.71
13,7,71.42,25.69
13,7,72,25.69
13,7,72.5,25.69
13,7,73.07,25.69
13,7,73.69,25.67
13,7,74.47,25.67
13,7,75.11,25.67
13,7,75.74,25.67
13,7,76.3,25.71
13,7,76.86,25.71
13,7,77.5,25.71
13,7,78.09,25.71
13,7,78.58,25.67
13,7,79.04,25.67
13,7,79.42,25.67
13,7,79.85,25.67
13,7,80.29,25.71
13,7,80.83,25.71
13,7,81.33,25.71
13,7,81.77,25.71
13,7,82.19,25.67
13,7,82.61,25.67
13,7,82.88,25.67
13,7,83.17,25.67
13,7,83.53,25.69
13,7,83.86,25.69
13,7,84.18,25.69
13,7,84.51,25.69
13,7,84.85,25.71
13,7,85.39,25.71
13,7,85.93,25.71
13,7,86.37,25.71
13,7,86.75,25.69
13,7,87.02,25.69
13,7,87.33,25.69
13,7,87.57,25.69
13,7,87.98,25.71
13,7,88.31,25.71
13,7,88.64,25.71
13,7,88.24,25.71
13,7,87.79,25.69
13,7,87.3,25.69
13,7,86.83,25.69
13,7,86.38,25.69
13,7,85.95,25.69
13,7,85.53,25.69
13,7,85.66,25.69
13,7,85.8,25.69
13,7,85.93,25.69
13,7,86.27,25.69
13,7,86.35,25.69
13,7,86.93,25.69
13,7,86.97,25.69
13,7,87.52,25.69
13,7,88.05,25.69
13,7,88.13,25.69
13,7,88.22,25.71
13,7,88.32,25.71
13,7,88.43,25.71
13,7,88.5,25.71
13,7,88.58,25.71
13,7,88.65,25.71
13,7,88.82,25.71
13,7,89.22,25.71
13,7,89.6,25.69
13,7,89.92,25.69
13,7,90.25,25.69
13,7,90.58,25.69
13,7,90.92,25.69
13,7,91.23,25.69
13,7,91.47,25.69
13,7,91.7,25.69
13,7,91.93,25.69
13,7,92.15,25.69
13,7,92.37,25.69
13,7,92.55,25.69
13,7,92.72,25.69
13,7,92.85,25.69
13,7,93,25.69
13,7,93.17,25.69
13,7,93.35,25.69
13,7,93.52,25.69
13,7,93.75,25.69
13,7,94,25.69
13,7,94.2,25.71
13,7,94.4,25.71
13,7,94.62,25.71
13,7,94.83,25.71
13,7,95.07,25.67
13,7,95.17,25.67
13,7,95.27,25.67
13,7,95.38,25.67
13,7,95.48,25.71
13,7,95.55,25.71
13,7,95.58,25.71
13,7,95.62,25.71
13,7,95.5,25.69
13,7,95.45,25.69
13,7,95.38,25.69
13,7,95.95,25.69
13,7,96.58,25.69
13,7,97.27,25.69
13,7,97.95,25.69
13,7,98.65,25.69
13,7,99.35,25.73
13,7,100.07,25.73
13,7,100.23,25.73
13,7,100.38,25.73
13,7,100.52,25.71
13,7,100.68,25.71
13,7,100.85,25.71
13,7,101.13,25.71
13,7,101.4,25.71
13,7,101.65,25.71
13,7,101.88,25.71
13,7,102.07,25.71
13,7,102.27,25.73
13,7,102.52,25.73
13,7,102.75,25.73
13,7,103.08,25.73
13,7,103.43,25.71
13,7,103.82,25.71
13,7,104.08,25.71
13,7,104.13,25.71
13,7,104.17,25.73
13,7,104.18,25.73
13,7,104.18,25.73
13,7,104.17,25.73
13,7,104.15,25.73
13,7,104.15,25.73
13,7,104.2,25.73
13,7,104.25,25.73
13,7,104.33,25.75
13,7,104.45,25.75
13,7,104.62,25.75
13,7,104.78,25.75
13,7,104.9,25.73
13,7,104.98,25.73
13,7,105.03,25.73
13,7,105.12,25.73
13,7,105.18,25.73
13,7,105.22,25.73
13,7,105.32,25.73
13,7,105.38,25.73
13,7,105.5,25.71
13,7,105.63,25.71
13,7,105.73,25.71
13,7,105.82,25.71
13,7,105.85,25.75
13,7,105.92,25.75
13,7,105.85,25.75
13,7,105.88,25.75
13,7,105.97,25.73
13,7,106.15,25.73
13,7,106.32,25.73
13,7,106.52,25.73
13,7,106.72,25.73
13,7,106.9,25.73
13,7,107.03,25.73
13,7,107.15,25.73
13,7,107.25,25.75
13,7,107.37,25.75
13,7,107.48,25.75
13,7,107.6,25.75
13,7,107.75,25.75
13,7,107.92,25.75
13,7,108.17,25.75
13,7,108.43,25.75
13,7,108.72,25.77
13,7,109.03,25.77
13,7,109.35,25.77
13,7,109.68,25.77
13,7,110.02,25.75
13,7,110.38,25.75
13,7,110.77,25.75
13,7,111.22,25.75
13,7,111.67,25.77
13,7,112.07,25.77
13,7,112.47,25.77
13,7,112.77,25.77
13,7,113.02,25.77
13,7,113.25,25.77
13,7,113.48,25.77
13,7,113.63,25.77
13,7,113.78,25.77
13,7,113.92,25.77
13,7,114.05,25.77
13,7,114.17,25.77
13,7,114.28,25.77
13,7,114.37,25.77
13,7,114.38,25.77
13,7,114.35,25.77
13,7,114.27,25.77
13,7,114.17,25.77
13,7,113.98,25.77
13,7,113.82,25.77
13,7,113.68,25.79
13,7,113.57,25.79
13,7,113.43,25.79
13,7,113.22,25.79
13,7,113.03,25.79
13,7,112.87,25.79
13,7,112.5,25.79
13,7,112.13,25.79
13,7,111.75,25.79
13,7,111.35,25.79
13,7,110.98,25.79
13,7,110.6,25.79
13,7,110.23,25.79
13,7,109.8,25.79
13,7,109.45,25.79
13,7,109.12,25.79
13,7,108.75,25.79
13,7,108.38,25.79
13,7,108.02,25.79
13,7,107.6,25.79
13,7,107.15,25.77
13,7,106.67,25.77
13,7,106.2,25.77
13,7,105.72,25.77
13,7,105.25,25.81
13,7,104.77,25.81
13,7,104.27,25.81
13,7,103.77,25.81
13,7,103.3,25.81
13,7,102.78,25.81
13,7,102.2,25.81
13,7,101.6,25.81
13,7,100.97,25.79
13,7,100.32,25.79
13,7,99.65,25.79
13,7,98.92,25.79
13,7,98.17,25.81
13,7,97.43,25.81
13,7,96.65,25.81
13,7,95.85,25.81
13,7,95.02,25.79
13,7,94.15,25.79
13,7,93.25,25.79
13,7,92.35,25.79
13,7,91.48,25.83
13,7,90.67,25.83
13,7,89.87,25.83
13,7,89.1,25.83
13,7,88.33,25.83
13,7,87.62,25.83
13,7,86.88,25.83
13,7,86.22,25.83
13,7,85.5,25.81
13,7,85.08,25.81
13,7,84.75,25.81
13,7,84.48,25.81
13,7,84.2,25.81
13,7,83.87,25.81
13,7,83.57,25.81
13,7,83.22,25.81
13,7,82.92,25.83
13,7,82.6,25.83
13,7,82.3,25.83
13,7,82.03,25.83
13,7,81.77,25.83
13,7,81.55,25.83
13,7,81.48,25.83
13,7,81.42,25.83
13,7,81.78,25.81
13,7,82.1,25.81
13,7,82.43,25.81
13,7,82.83,25.81
13,7,83.23,25.83
13,7,83.68,25.83
13,7,84.17,25.83
13,7,84.58,25.83
13,7,85.05,25.83
13,7,85.52,25.83
13,7,86,25.83
13,7,86.52,25.83
13,7,87.07,25.85
13,7,87.63,25.85
13,7,88.22,25.85
13,7,88.83,25.85
13,7,89.42,25.87
13,7,90,25.87
13,7,90.65,25.87
13,7,91.27,25.87
13,7,91.83,25.85
13,7,92.42,25.85
13,7,93.02,25.85
13,7,93.58,25.85
13,7,94.2,25.85
13,7,94.8,25.85
13,7,95.43,25.85
13,7,96.1,25.85
13,7,96.85,25.85
13,7,97.58,25.85
13,7,98.37,25.85
13,7,99.17,25.85
13,7,100,25.87
