DIA,MES,HR,TEMP
15,7,181.08,18.43
15,7,180.28,18.43
15,7,179.47,18.45
15,7,178.67,18.45
15,7,177.85,18.45
15,7,177.02,18.45
15,7,176.12,18.45
15,7,175.25,18.45
15,7,174.27,18.45
15,7,173.22,18.45
15,7,172.3,18.46
15,7,171.42,18.46
15,7,170.52,18.46
15,7,169.67,18.46
15,7,168.83,18.45
15,7,167.97,18.45
15,7,167.05,18.45
15,7,166.08,18.45
15,7,165.15,18.45
15,7,164.2,18.45
15,7,163.17,18.45
15,7,162.15,18.45
15,7,161.27,18.45
15,7,160.38,18.45
15,7,159.68,18.45
15,7,158.93,18.45
15,7,157.93,18.46
15,7,156.97,18.46
15,7,156,18.46
15,7,155.02,18.46
15,7,154.08,18.45
15,7,153.78,18.45
15,7,153.48,18.45
15,7,153.18,18.45
15,7,152.82,18.45
15,7,152.55,18.45
15,7,152.32,18.45
15,7,152.08,18.45
15,7,151.82,18.45
15,7,151.6,18.45
15,7,151.27,18.45
15,7,150.9,18.45
15,7,150.55,18.45
15,7,150.13,18.45
15,7,149.62,18.45
15,7,149.08,18.45
15,7,148.63,18.45
15,7,148.22,18.45
15,7,147.53,18.45
15,7,146.73,18.45
15,7,145.98,18.45
15,7,145.42,18.45
15,7,144.88,18.45
15,7,144.33,18.45
15,7,143.52,18.46
15,7,142.73,18.46
15,7,141.95,18.46
15,7,141.13,18.46
15,7,140.25,18.45
15,7,139.38,18.45
15,7,138.58,18.45
15,7,137.73,18.45
15,7,136.92,18.45
15,7,136.08,18.45
15,7,135.32,18.45
15,7,134.57,18.45
15,7,133.92,18.45
15,7,133.25,18.45
15,7,132.73,18.45
15,7,132.3,18.45
15,7,131.75,18.46
15,7,131.28,18.46
15,7,130.78,18.46
15,7,130.32,18.46
15,7,129.82,18.43
15,7,129.32,18.43
15,7,128.92,18.43
15,7,128.58,18.43
15,7,128.23,18.45
15,7,127.87,18.45
15,7,127.48,18.45
15,7,127.12,18.45
15,7,126.6,18.43
15,7,126.1,18.43
15,7,125.68,18.43
15,7,125.25,18.43
15,7,124.88,18.45
15,7,124.47,18.45
15,7,124.03,18.45
15,7,123.6,18.45
15,7,123.13,18.45
15,7,122.62,18.45
15,7,122.08,18.45
15,7,121.58,18.45
15,7,121.2,18.43
15,7,120.82,18.43
15,7,120.42,18.43
15,7,120.03,18.43
15,7,119.63,18.43
15,7,119.22,18.43
15,7,118.92,18.43
15,7,118.62,18.43
15,7,118.35,18.45
15,7,118.1,18.45
15,7,117.92,18.45
15,7,117.82,18.45
15,7,117.7,18.46
15,7,117.52,18.46
15,7,117.6,18.46
15,7,117.73,18.46
15,7,117.73,18.45
15,7,117.92,18.45
15,7,118.13,18.45
15,7,118.33,18.45
15,7,118.73,18.43
15,7,119.13,18.43
15,7,119.48,18.43
15,7,119.85,18.43
15,7,120.2,18.45
15,7,120.57,18.45
