DIA,MES,HR,TEMP
8,8,65.67,33.11
8,8,70,33.11
8,8,72.6,33.11
8,8,74.33,33.11
8,8,75.71,33.11
8,8,77,33.11
8,8,77.89,33.09
8,8,78.4,33.09
8,8,78.82,33.09
8,8,79.17,33.09
8,8,79.38,33.13
8,8,79.64,33.13
8,8,79.67,33.13
8,8,79.75,33.13
8,8,79.82,33.13
8,8,80,33.13
8,8,80.21,33.13
8,8,80.15,33.13
8,8,80.14,33.09
8,8,80,33.09
8,8,79.91,33.09
8,8,79.71,33.09
8,8,79.52,33.11
8,8,79.35,33.11
8,8,78.96,33.11
8,8,78.64,33.11
8,8,78.45,33.13
8,8,78.37,33.13
8,8,78.26,33.13
8,8,78.16,33.13
8,8,78.03,33.13
8,8,77.91,33.13
8,8,77.69,33.13
8,8,77.97,33.13
8,8,78.24,33.13
8,8,78.5,33.13
8,8,78.72,33.13
8,8,78.95,33.13
8,8,79.22,33.13
8,8,79.52,33.13
8,8,79.84,33.13
8,8,80.16,33.13
8,8,80.47,33.15
8,8,80.76,33.15
8,8,81.04,33.15
8,8,81.31,33.15
8,8,81.57,33.13
8,8,81.82,33.13
8,8,82.08,33.13
8,8,82.33,33.13
8,8,82.57,33.15
8,8,82.8,33.15
8,8,83.04,33.15
8,8,83.29,33.15
8,8,83.54,33.16
8,8,83.79,33.16
8,8,84.03,33.16
8,8,84.25,33.16
8,8,84.87,33.16
8,8,85.55,33.16
8,8,85.77,33.16
8,8,85.98,33.16
8,8,86.22,33.15
8,8,86.48,33.15
8,8,86.75,33.15
8,8,86.98,33.15
8,8,87.23,33.16
8,8,87.52,33.16
8,8,87.8,33.16
8,8,88.07,33.16
8,8,88.35,33.16
8,8,88.62,33.16
8,8,88.95,33.16
8,8,89.28,33.16
8,8,89.67,33.16
8,8,90,33.16
8,8,90.35,33.16
8,8,90.75,33.16
8,8,91.15,33.21
8,8,91.6,33.21
8,8,92.03,33.21
8,8,92.53,33.21
8,8,93.05,33.18
8,8,93.57,33.18
8,8,94.2,33.18
8,8,94.75,33.18
8,8,95.28,33.21
8,8,95.75,33.21
8,8,96.2,33.21
