DIA,MES,HR,TEMP
30,11,55,25.55
30,11,55.25,25.55
30,11,54.8,25.55
30,11,74.67,25.55
30,11,88.71,25.55
30,11,99.5,25.55
30,11,108,26.01
30,11,114.8,26.01
30,11,120.09,26.01
30,11,125.42,26.01
30,11,129.77,23.97
30,11,133.43,23.97
30,11,136.53,23.97
30,11,139.25,23.97
30,11,141.59,24.91
30,11,143.61,24.91
30,11,147.26,24.91
30,11,148.9,24.91
30,11,150.43,24.99
30,11,151.82,24.99
30,11,153.09,24.99
30,11,154.29,24.99
30,11,155.4,25.07
30,11,156.46,25.07
30,11,157.52,25.07
30,11,158.54,25.07
30,11,159.45,24.75
30,11,160.3,24.75
30,11,159.13,24.75
30,11,157.94,24.75
30,11,156.85,25.77
30,11,155.82,25.77
30,11,154.86,25.77
30,11,153.94,25.77
30,11,153.03,26.91
30,11,152.26,26.91
30,11,151.51,26.91
30,11,150.88,26.91
30,11,150.27,29.31
30,11,149.71,29.31
30,11,149.21,29.31
30,11,148.82,29.31
30,11,148.36,31.11
30,11,147.91,31.11
30,11,147.49,31.11
30,11,147.02,31.11
30,11,146.59,32.89
30,11,146.14,32.89
30,11,145.71,32.89
30,11,145.33,32.89
30,11,144.94,33.41
30,11,144.63,33.41
30,11,144.33,33.41
30,11,144.11,33.41
30,11,143.88,33.59
30,11,143.64,33.59
30,11,143.41,33.59
30,11,143.2,33.59
30,11,144.43,33.61
30,11,145.7,33.61
30,11,146.97,33.61
30,11,148.25,33.61
30,11,149.57,33.43
30,11,148.87,33.43
30,11,148.23,33.43
30,11,147.58,33.43
30,11,146.9,33.31
30,11,146.28,33.31
30,11,145.65,33.31
30,11,144.63,33.31
30,11,143.65,33.23
30,11,142.7,33.23
30,11,141.78,33.23
30,11,140.87,33.23
30,11,139.95,33.77
30,11,139.05,33.77
30,11,137.57,33.77
30,11,136.62,33.77
30,11,135.63,33.71
30,11,134.63,33.71
30,11,133.65,33.71
30,11,132.63,33.71
30,11,131.6,33.97
30,11,130.55,33.97
30,11,129.53,33.97
30,11,128.33,33.97
30,11,127.12,34.13
30,11,125.88,34.13
30,11,125.53,34.13
30,11,125.22,34.13
30,11,124.9,34.41
30,11,124.6,34.41
30,11,124.27,34.41
30,11,123.93,34.41
30,11,123.65,34.33
30,11,123.3,34.33
30,11,123,34.33
30,11,122.62,34.33
30,11,122.23,34.18
30,11,121.78,34.18
30,11,121.32,34.18
30,11,120.8,34.18
30,11,120.33,33.99
30,11,119.83,33.99
30,11,119.28,33.99
30,11,118.77,33.99
30,11,118.25,34.25
30,11,117.63,34.25
30,11,117.07,34.25
30,11,116.47,34.25
30,11,115.85,34.29
30,11,115.22,34.29
30,11,114.6,34.29
30,11,113.9,34.29
30,11,113.2,34.31
30,11,112.47,34.31
30,11,111.75,34.31
30,11,111,34.31
30,11,110.3,34.29
30,11,109.6,34.29
30,11,108.87,34.29
30,11,108.1,34.29
30,11,107.4,34.31
30,11,106.7,34.31
30,11,105.95,34.31
30,11,105.18,34.31
30,11,104.55,34.29
30,11,103.8,34.29
30,11,103.12,34.29
30,11,102.6,34.29
30,11,102.08,34.27
30,11,101.55,34.27
30,11,100.93,34.27
30,11,100.35,34.27
30,11,99.68,34.31
30,11,99.03,34.31
30,11,98.43,34.31
30,11,97.88,34.31
30,11,97.35,34.33
30,11,96.8,34.33
30,11,96.3,34.33
30,11,95.78,34.33
30,11,95.28,34.33
30,11,94.8,34.33
30,11,94.27,34.33
30,11,93.87,34.33
30,11,93.52,34.37
30,11,93.18,34.37
30,11,92.98,34.37
30,11,92.8,34.37
30,11,92.62,34.37
30,11,92.45,34.37
30,11,92.28,34.37
30,11,92.08,34.37
30,11,91.88,34.37
30,11,91.67,34.37
30,11,91.42,34.37
30,11,91.28,34.37
30,11,91.02,34.41
30,11,90.75,34.41
30,11,90.33,34.41
30,11,89.9,34.41
30,11,89.5,34.41
30,11,89.05,34.41
30,11,88.6,34.41
30,11,88.22,34.41
30,11,87.77,34.43
30,11,87.43,34.43
30,11,87.08,34.43
30,11,86.78,34.43
30,11,86.5,34.43
30,11,86.12,34.43
30,11,85.6,34.43
30,11,85.03,34.43
30,11,84.52,34.45
30,11,84.07,34.45
30,11,83.5,34.45
30,11,82.92,34.45
30,11,82.37,34.41
30,11,81.73,34.41
30,11,81.22,34.41
30,11,80.73,34.41
30,11,80.15,34.47
30,11,80.08,34.47
30,11,80,34.47
30,11,79.93,34.47
30,11,79.77,34.45
30,11,79.67,34.45
30,11,79.58,34.45
30,11,79.55,34.45
30,11,79.52,34.47
30,11,79.48,34.47
30,11,79.52,34.47
30,11,79.52,34.47
30,11,79.62,34.5
30,11,79.72,34.5
30,11,79.77,34.5
30,11,79.78,34.5
30,11,79.8,34.5
30,11,79.87,34.5
30,11,79.88,34.5
30,11,79.93,34.5
30,11,79.98,34.5
30,11,80.03,34.5
30,11,80.07,34.5
30,11,80.15,34.5
30,11,80.2,34.53
30,11,80.27,34.53
30,11,80.32,34.53
30,11,80.4,34.53
30,11,80.45,34.55
30,11,80.45,34.55
30,11,80.45,34.55
30,11,80.43,34.55
30,11,80.4,34.57
30,11,80.4,34.57
30,11,80.4,34.57
30,11,80.37,34.57
30,11,80.48,34.57
30,11,80.62,34.57
30,11,80.92,34.57
30,11,81.23,34.57
30,11,81.53,34.57
30,11,81.9,34.57
30,11,82.32,34.57
30,11,82.68,34.57
30,11,83.12,34.55
30,11,83.58,34.55
30,11,84.03,34.55
30,11,84.43,34.55
30,11,84.83,34.57
30,11,85.3,34.57
30,11,85.87,34.57
30,11,86.48,34.57
30,11,87.07,34.57
30,11,87.62,34.57
30,11,88.28,34.57
30,11,89,34.57
30,11,89.67,34.59
30,11,90.4,34.59
30,11,91.03,34.59
30,11,91.62,34.59
30,11,92.23,34.63
30,11,92.33,34.63
30,11,92.45,34.63
30,11,92.55,34.63
30,11,92.63,34.61
30,11,92.72,34.61
30,11,92.78,34.61
30,11,92.83,34.61
30,11,92.88,34.65
30,11,92.93,34.65
30,11,93,34.65
30,11,93.08,34.65
30,11,93.18,34.63
30,11,93.32,34.63
30,11,93.5,34.63
30,11,93.65,34.63
30,11,93.82,34.65
30,11,93.98,34.65
30,11,94.17,34.65
30,11,94.35,34.65
30,11,94.55,34.63
30,11,94.73,34.63
30,11,94.93,34.63
30,11,95.12,34.63
30,11,95.32,34.63
30,11,95.48,34.63
30,11,95.67,34.63
30,11,95.8,34.63
30,11,96.02,34.63
30,11,96.08,34.63
30,11,96.15,34.63
30,11,96.25,34.63
30,11,96.4,34.65
30,11,96.52,34.65
30,11,96.63,34.65
30,11,96.68,34.65
30,11,96.73,34.65
30,11,96.82,34.65
30,11,96.9,34.65
30,11,96.97,34.65
30,11,96.95,34.65
30,11,96.95,34.65
30,11,97.02,34.65
30,11,97.08,34.65
30,11,97.1,34.66
30,11,97.07,34.66
30,11,97,34.66
30,11,96.92,34.66
30,11,96.85,34.63
30,11,96.83,34.63
30,11,96.85,34.63
30,11,96.8,34.63
30,11,96.77,34.66
30,11,96.77,34.66
30,11,96.73,34.66
30,11,96.67,34.66
30,11,96.6,34.66
30,11,96.47,34.66
30,11,96.33,34.66
30,11,96.2,34.66
30,11,96.07,34.68
30,11,95.93,34.68
30,11,95.82,34.68
30,11,95.72,34.68
30,11,95.57,34.65
30,11,95.38,34.65
30,11,95.23,34.65
30,11,95.05,34.65
30,11,94.85,34.66
30,11,94.63,34.66
30,11,94.37,34.66
30,11,94.03,34.66
30,11,93.68,34.68
30,11,93.33,34.68
30,11,92.95,34.68
30,11,92.62,34.68
30,11,92.32,34.71
30,11,92.15,34.71
30,11,91.95,34.71
30,11,91.77,34.71
30,11,91.58,34.66
30,11,91.4,34.66
30,11,91.22,34.66
30,11,91,34.66
30,11,90.78,34.66
30,11,90.58,34.66
30,11,90.37,34.66
30,11,90.18,34.66
30,11,89.97,34.66
30,11,89.93,34.66
30,11,89.93,34.66
30,11,89.93,34.66
30,11,89.87,34.71
30,11,89.88,34.71
30,11,89.87,34.71
30,11,89.85,34.71
30,11,89.82,34.66
30,11,89.78,34.66
30,11,89.73,34.66
30,11,89.7,34.66
30,11,89.77,34.71
30,11,89.73,34.71
30,11,89.68,34.71
30,11,89.63,34.71
30,11,89.62,34.68
30,11,89.62,34.68
30,11,89.6,34.68
30,11,89.58,34.68
