DIA,MES,HR,TEMP
18,8,101.77,33.81
18,8,101.73,33.81
18,8,101.72,33.81
18,8,101.7,33.81
18,8,101.72,33.81
18,8,101.73,33.81
18,8,101.78,33.81
18,8,101.83,33.81
18,8,101.88,33.81
18,8,101.93,33.83
18,8,101.95,33.83
18,8,101.95,33.83
18,8,101.95,33.83
18,8,101.95,33.81
18,8,101.95,33.81
18,8,101.97,33.81
18,8,101.98,33.81
18,8,102.02,33.81
18,8,102.05,33.81
18,8,102.08,33.81
18,8,102.1,33.81
18,8,102.1,33.81
18,8,102.12,33.81
18,8,102.13,33.81
18,8,102.2,33.81
18,8,102.27,33.79
18,8,102.3,33.79
18,8,102.32,33.79
18,8,102.32,33.79
18,8,102.28,33.81
18,8,102.22,33.81
18,8,102.12,33.81
18,8,102.03,33.81
18,8,101.97,33.79
18,8,101.97,33.79
18,8,101.98,33.79
18,8,102.03,33.79
18,8,102.08,33.79
18,8,102.13,33.79
18,8,102.18,33.79
18,8,102.22,33.79
18,8,102.25,33.81
18,8,102.28,33.81
18,8,102.3,33.81
18,8,102.32,33.81
18,8,102.33,33.81
18,8,102.37,33.81
18,8,102.38,33.81
18,8,102.38,33.81
18,8,102.37,33.79
18,8,102.33,33.79
18,8,102.27,33.79
18,8,102.2,33.79
18,8,102.15,33.79
18,8,102.12,33.79
18,8,102.08,33.79
18,8,102.05,33.79
18,8,102.02,33.79
18,8,101.98,33.79
18,8,101.95,33.79
18,8,101.9,33.79
18,8,101.85,33.77
18,8,101.82,33.77
18,8,101.8,33.77
18,8,101.78,33.77
18,8,101.77,33.77
18,8,101.73,33.77
18,8,101.68,33.77
18,8,101.6,33.77
18,8,101.5,33.79
18,8,101.42,33.79
18,8,101.35,33.79
18,8,101.28,33.79
18,8,101.25,33.77
18,8,101.23,33.77
18,8,101.22,33.77
18,8,101.22,33.77
18,8,101.18,33.77
18,8,101.15,33.77
18,8,101.1,33.77
18,8,101.07,33.77
18,8,101.03,33.79
18,8,100.98,33.79
18,8,100.93,33.79
18,8,100.9,33.79
18,8,100.87,33.75
18,8,100.85,33.75
18,8,100.83,33.75
18,8,100.83,33.75
18,8,100.85,33.79
18,8,100.88,33.79
18,8,100.92,33.79
18,8,100.93,33.79
18,8,100.95,33.79
18,8,100.95,33.79
18,8,100.93,33.79
18,8,100.92,33.79
18,8,100.9,33.77
18,8,100.88,33.77
18,8,100.88,33.77
18,8,100.9,33.77
18,8,100.92,33.77
18,8,100.93,33.77
18,8,100.95,33.77
18,8,100.95,33.77
18,8,100.97,33.77
18,8,100.92,33.77
18,8,100.85,33.77
18,8,100.78,33.77
18,8,100.73,33.79
18,8,100.7,33.79
18,8,100.68,33.79
18,8,100.68,33.79
18,8,100.7,33.77
18,8,100.7,33.77
18,8,100.68,33.77
18,8,100.62,33.77
18,8,100.55,33.77
18,8,100.47,33.77
18,8,100.37,33.77
18,8,100.28,33.77
18,8,100.18,33.75
18,8,100.1,33.75
18,8,99.98,33.75
18,8,99.85,33.75
18,8,99.73,33.75
18,8,99.62,33.75
18,8,99.53,33.75
18,8,99.48,33.75
18,8,99.45,33.77
18,8,99.42,33.77
18,8,99.42,33.77
18,8,99.42,33.77
18,8,99.47,33.77
18,8,99.48,33.77
18,8,99.52,33.77
18,8,99.55,33.77
18,8,99.58,33.79
18,8,99.58,33.79
18,8,99.58,33.79
18,8,99.6,33.79
