DIA,MES,ANNO,HR,TEMP
9,11,2018,91.72,31.87
9,11,2018,91.48,31.87
9,11,2018,91.18,31.87
9,11,2018,90.88,31.87
9,11,2018,90.33,31.83
9,11,2018,89.8,31.83
9,11,2018,89.02,31.83
9,11,2018,88.22,31.83
9,11,2018,87.37,31.83
9,11,2018,86.55,31.83
9,11,2018,85.75,31.83
9,11,2018,84.92,31.83
9,11,2018,84.03,31.81
9,11,2018,83.17,31.81
9,11,2018,82.33,31.81
9,11,2018,81.47,31.81
9,11,2018,80.5,31.79
9,11,2018,79.6,31.79
9,11,2018,78.7,31.79
9,11,2018,77.83,31.79
9,11,2018,77.02,31.75
9,11,2018,76.18,31.75
9,11,2018,75.38,31.75
9,11,2018,74.63,31.75
9,11,2018,74,31.77
9,11,2018,73.35,31.77
9,11,2018,72.68,31.77
9,11,2018,72.03,31.77
9,11,2018,71.37,31.75
9,11,2018,70.72,31.75
9,11,2018,70.07,31.75
9,11,2018,69.37,31.75
9,11,2018,69,31.77
9,11,2018,68.78,31.77
9,11,2018,69.18,31.77
9,11,2018,69.5,31.77
9,11,2018,69.87,31.77
9,11,2018,70.25,31.77
9,11,2018,70.63,31.77
9,11,2018,71.05,31.77
9,11,2018,71.43,31.77
9,11,2018,71.77,31.77
9,11,2018,72.07,31.77
9,11,2018,72.33,31.77
9,11,2018,72.68,31.77
9,11,2018,73.18,31.77
9,11,2018,73.77,31.77
9,11,2018,74.2,31.77
9,11,2018,74.62,31.75
9,11,2018,75.03,31.75
9,11,2018,75.4,31.75
9,11,2018,75.87,31.75
9,11,2018,76.33,31.77
9,11,2018,76.72,31.77
9,11,2018,77.08,31.77
9,11,2018,77.43,31.77
9,11,2018,77.88,31.77
9,11,2018,78.3,31.77
9,11,2018,78.7,31.77
9,11,2018,79.07,31.77
9,11,2018,79.4,31.77
9,11,2018,79.72,31.77
9,11,2018,80,31.77
9,11,2018,80.22,31.77
9,11,2018,80.45,31.79
9,11,2018,80.72,31.79
9,11,2018,81.13,31.79
9,11,2018,81.55,31.79
9,11,2018,81.98,31.81
9,11,2018,82.38,31.81
9,11,2018,82.78,31.81
9,11,2018,83.17,31.81
9,11,2018,83.57,31.79
9,11,2018,84,31.79
9,11,2018,84.45,31.79
9,11,2018,84.93,31.79
9,11,2018,85.35,31.75
9,11,2018,85.73,31.75
9,11,2018,86.1,31.75
9,11,2018,86.45,31.75
9,11,2018,86.78,31.79
9,11,2018,87.08,31.79
9,11,2018,87.37,31.79
9,11,2018,87.62,31.79
9,11,2018,87.75,31.81
9,11,2018,87.95,31.81
9,11,2018,88.18,31.81
9,11,2018,88.45,31.81
9,11,2018,88.75,31.79
9,11,2018,89.07,31.79
9,11,2018,89.37,31.79
9,11,2018,89.73,31.79
9,11,2018,90.12,31.79
9,11,2018,90.53,31.79
9,11,2018,90.93,31.79
9,11,2018,91.37,31.79
9,11,2018,91.78,31.81
9,11,2018,92.22,31.81
9,11,2018,92.52,31.81
9,11,2018,92.83,31.81
9,11,2018,93.15,31.79
9,11,2018,93.53,31.79
9,11,2018,93.93,31.79
9,11,2018,94.35,31.79
9,11,2018,94.72,31.81
9,11,2018,94.9,31.81
9,11,2018,95.07,31.81
9,11,2018,95.2,31.81
9,11,2018,95.35,31.79
9,11,2018,95.52,31.79
9,11,2018,95.67,31.79
9,11,2018,95.77,31.79
9,11,2018,95.78,31.79
9,11,2018,95.77,31.79
9,11,2018,95.7,31.79
9,11,2018,95.65,31.79
9,11,2018,95.5,31.81
9,11,2018,95.33,31.81
9,11,2018,95.17,31.81
9,11,2018,95.02,31.81
9,11,2018,94.9,31.81
9,11,2018,94.8,31.81
9,11,2018,94.72,31.81
9,11,2018,94.7,31.81
9,11,2018,94.68,31.79
9,11,2018,94.68,31.79
9,11,2018,94.72,31.79
9,11,2018,94.77,31.79
9,11,2018,94.82,31.79
9,11,2018,94.88,31.79
9,11,2018,94.93,31.79
9,11,2018,94.97,31.79
9,11,2018,94.97,31.81
9,11,2018,94.93,31.81
9,11,2018,94.87,31.81
9,11,2018,94.78,31.81
9,11,2018,94.7,31.81
9,11,2018,94.62,31.81
9,11,2018,94.57,31.81
9,11,2018,94.53,31.81
9,11,2018,94.52,31.81
9,11,2018,94.53,31.81
9,11,2018,94.57,31.81
9,11,2018,94.58,31.81
9,11,2018,94.6,31.81
9,11,2018,94.6,31.81
9,11,2018,94.53,31.81
9,11,2018,94.45,31.81
9,11,2018,94.33,31.83
9,11,2018,94.18,31.83
9,11,2018,94.07,31.83
9,11,2018,93.83,31.83
9,11,2018,93.57,31.81
9,11,2018,93.32,31.81
9,11,2018,92.83,31.81
9,11,2018,92.48,31.81
9,11,2018,92.2,31.81
9,11,2018,92.03,31.81
9,11,2018,92.05,31.81
9,11,2018,92.08,31.81
9,11,2018,92.12,31.81
9,11,2018,92.2,31.81
9,11,2018,92.25,31.81
9,11,2018,92.25,31.81
9,11,2018,92.32,31.81
9,11,2018,92.35,31.81
9,11,2018,92.32,31.81
9,11,2018,92.28,31.81
9,11,2018,92.22,31.83
9,11,2018,92.08,31.83
9,11,2018,91.93,31.83
9,11,2018,91.83,31.83
9,11,2018,91.73,31.83
9,11,2018,91.67,31.83
9,11,2018,91.68,31.83
9,11,2018,91.73,31.83
9,11,2018,91.77,31.85
9,11,2018,91.95,31.85
9,11,2018,92.13,31.85
9,11,2018,92.32,31.85
9,11,2018,92.48,31.85
9,11,2018,92.63,31.85
9,11,2018,92.78,31.85
9,11,2018,92.93,31.85
9,11,2018,93.07,31.83
9,11,2018,93.17,31.83
9,11,2018,93.23,31.83
9,11,2018,93.28,31.83
9,11,2018,93.33,31.85
9,11,2018,93.38,31.85
9,11,2018,93.45,31.85
9,11,2018,93.53,31.85
9,11,2018,93.63,31.85
9,11,2018,93.75,31.85
9,11,2018,93.87,31.85
9,11,2018,93.97,31.85
9,11,2018,94.05,31.85
9,11,2018,94.08,31.85
9,11,2018,94.1,31.85
9,11,2018,94.1,31.85
9,11,2018,94.1,31.85
9,11,2018,94.08,31.85
9,11,2018,94.05,31.85
9,11,2018,94.03,31.85
9,11,2018,94.02,31.87
9,11,2018,94,31.87
9,11,2018,94,31.87
9,11,2018,94,31.87
9,11,2018,94.02,31.87
9,11,2018,94.05,31.87
9,11,2018,94.08,31.87
9,11,2018,94.2,31.87
9,11,2018,94.35,31.87
9,11,2018,94.5,31.87
9,11,2018,94.9,31.87
9,11,2018,95.22,31.87
9,11,2018,95.5,31.89
9,11,2018,95.68,31.89
9,11,2018,95.82,31.89
9,11,2018,95.92,31.89
9,11,2018,96,31.89
9,11,2018,96.08,31.89
9,11,2018,96.2,31.89
9,11,2018,96.3,31.89
9,11,2018,96.37,31.87
9,11,2018,96.48,31.87
9,11,2018,96.63,31.87
9,11,2018,96.8,31.87
9,11,2018,96.97,31.89
9,11,2018,97.15,31.89
9,11,2018,97.32,31.89
9,11,2018,97.43,31.89
9,11,2018,97.53,31.91
9,11,2018,97.48,31.91
9,11,2018,97.43,31.91
9,11,2018,97.37,31.91
9,11,2018,97.33,31.91
9,11,2018,97.18,31.91
9,11,2018,97.03,31.91
9,11,2018,96.88,31.91
9,11,2018,96.77,31.91
9,11,2018,96.65,31.91
9,11,2018,96.53,31.91
9,11,2018,96.42,31.91
9,11,2018,96.23,31.91
9,11,2018,95.98,31.91
9,11,2018,95.73,31.91
9,11,2018,95.48,31.91
9,11,2018,95.23,31.91
9,11,2018,94.97,31.91
9,11,2018,94.68,31.91
9,11,2018,94.4,31.91
9,11,2018,94.08,31.93
9,11,2018,93.78,31.93
