Longitude,Latitude,Altitude,Time,Speed
-99.12596130371094,19.512168884277344,,2020-01-17 00:07:55+00:00,9.157079166677665
-99.12601470947266,19.513731002807617,,2020-01-17 00:08:14+00:00,5.825029783134913
-99.12602996826172,19.513748168945312,,2020-01-17 00:08:15+00:00,3.7394705732940228
-99.12606048583984,19.513782501220703,,2020-01-17 00:08:16+00:00,4.529390666865737
-99.12625122070312,19.51296043395996,,2020-01-17 00:08:39+00:00,3.821666809013191
-99.12682342529297,19.513166427612305,,2020-01-17 00:08:57+00:00,1.8914163876931047
-99.12682342529297,19.513168334960938,,2020-01-17 00:08:58+00:00,0.6873022714228768
-99.12688446044922,19.513193130493164,2201.06005859375,2020-01-17 00:09:04+00:00,0.983977492848938
-99.12693786621094,19.513187408447266,2201.06005859375,2020-01-17 00:09:11+00:00,1.4910038776190548
-99.12693786621094,19.51310920715332,2201.06005859375,2020-01-17 00:09:15+00:00,3.0095429188589917
-99.1269302368164,19.51304054260254,2201.06005859375,2020-01-17 00:09:17+00:00,8.828540983203274
-99.12682342529297,19.512428283691406,2201.06005859375,2020-01-17 00:09:22+00:00,7.7564650860489985
-99.12682342529297,19.512413024902344,2201.06005859375,2020-01-17 00:09:23+00:00,2.6894509952191648
-99.12682342529297,19.512313842773438,2201.06005859375,2020-01-17 00:09:26+00:00,3.844529233089424
-99.1268081665039,19.512243270874023,2201.06005859375,2020-01-17 00:09:28+00:00,3.9063888003577105
-99.12678527832031,19.512178421020508,2201.06005859375,2020-01-17 00:09:30+00:00,3.684340237374334
-99.12675476074219,19.512121200561523,2201.06005859375,2020-01-17 00:09:32+00:00,3.564660150565938
-99.12672424316406,19.51206398010254,2201.06005859375,2020-01-17 00:09:34+00:00,3.8053051990494406
-99.12669372558594,19.51199722290039,2201.06005859375,2020-01-17 00:09:36+00:00,4.3831139857620665
-99.12667083740234,19.51191520690918,2201.06005859375,2020-01-17 00:09:38+00:00,4.668982368456752
-99.12664794921875,19.5118350982666,2201.06005859375,2020-01-17 00:09:40+00:00,4.627736545812708
-99.12661743164062,19.511756896972656,2201.06005859375,2020-01-17 00:09:42+00:00,4.570551278370387
-99.12657928466797,19.51168441772461,2201.06005859375,2020-01-17 00:09:44+00:00,3.9867272720287508
-99.12654876708984,19.511629104614258,2201.06005859375,2020-01-17 00:09:46+00:00,3.313626164181221
-99.12651062011719,19.511585235595703,2201.06005859375,2020-01-17 00:09:48+00:00,2.5816182237165077
-99.12648010253906,19.511539459228516,2201.06005859375,2020-01-17 00:09:51+00:00,1.9419553726453183
-99.12644958496094,19.511478424072266,2201.06005859375,2020-01-17 00:09:55+00:00,1.894357232545438
-99.12644958496094,19.51142692565918,2201.06005859375,2020-01-17 00:09:58+00:00,1.955255708503743
-99.1264419555664,19.51137351989746,2201.06005859375,2020-01-17 00:10:01+00:00,2.035708447858909
-99.12641906738281,19.511322021484375,2201.06005859375,2020-01-17 00:10:04+00:00,2.1045579478711662
-99.12639617919922,19.511268615722656,2201.06005859375,2020-01-17 00:10:07+00:00,2.2253556368846565
-99.1263656616211,19.511213302612305,2201.06005859375,2020-01-17 00:10:10+00:00,2.2253557724003477
-99.1263427734375,19.511159896850586,2201.06005859375,2020-01-17 00:10:13+00:00,2.007537177015875
-99.1263198852539,19.5111141204834,2201.06005859375,2020-01-17 00:10:16+00:00,1.845904355934624
-99.12629699707031,19.511070251464844,2201.06005859375,2020-01-17 00:10:19+00:00,1.7981758465494397
-99.12626647949219,19.51101303100586,2201.06005859375,2020-01-17 00:10:23+00:00,1.7651477202358166
-99.12622833251953,19.510961532592773,2201.06005859375,2020-01-17 00:10:27+00:00,1.6229641915864272
-99.12619018554688,19.510921478271484,2201.06005859375,2020-01-17 00:10:31+00:00,1.9208102654512103
-99.12613677978516,19.510883331298828,2201.06005859375,2020-01-17 00:10:34+00:00,2.173206272765505
-99.12609100341797,19.51085090637207,2201.06005859375,2020-01-17 00:10:37+00:00,2.220803889227888
-99.12602233886719,19.510839462280273,2201.06005859375,2020-01-17 00:10:40+00:00,2.22080401820664
-99.1259765625,19.51087188720703,2201.06005859375,2020-01-17 00:10:43+00:00,1.9739762039269848
-99.12593841552734,19.510910034179688,2201.06005859375,2020-01-17 00:10:46+00:00,1.6374093966086596
-99.12590789794922,19.510948181152344,2201.06005859375,2020-01-17 00:10:50+00:00,1.1798671088233972
-99.1258773803711,19.510984420776367,2201.06005859375,2020-01-17 00:10:55+00:00,1.1958003837196547
-99.12590026855469,19.51104164123535,2201.06005859375,2020-01-17 00:11:00+00:00,1.431861014905249
-99.12586975097656,19.5111026763916,2201.06005859375,2020-01-17 00:11:05+00:00,1.2669456989574732
-99.12586212158203,19.51114845275879,2201.06005859375,2020-01-17 00:11:10+00:00,0.9534984402741967
-99.12590789794922,19.511194229125977,2201.06005859375,2020-01-17 00:11:18+00:00,1.469833486656456
-99.1259765625,19.51123046875,2201.06005859375,2020-01-17 00:11:22+00:00,1.1978066375150815
-99.12596130371094,19.511234283447266,2201.06005859375,2020-01-17 00:11:27+00:00,0.6643466578910566
-99.12591552734375,19.51123046875,2202.332763671875,2020-01-17 00:11:32+00:00,2.0499315149077852
-99.12596893310547,19.51129722595215,2202.332763671875,2020-01-17 00:11:35+00:00,3.461965286014178
-99.12601470947266,19.511350631713867,2202.332763671875,2020-01-17 00:11:37+00:00,3.3145625507064738
-99.12604522705078,19.511390686035156,2203.5146484375,2020-01-17 00:11:39+00:00,2.3618133433306645
-99.12606048583984,19.51144027709961,2203.5146484375,2020-01-17 00:11:42+00:00,1.612334842600796
