Longitude,Latitude,Altitude,Time,Speed,HeartRate
-99.12644958,19.51181602,,2020-01-17 00:46:44+00:00,4.592620092,<heartrate>98</heartrate>
-99.12645721,19.51148605,,2020-01-17 00:46:52+00:00,3.631660721,<heartrate>106</heartrate>
-99.12644958,19.51146317,,2020-01-17 00:46:53+00:00,3.704976458,<heartrate>106</heartrate>
-99.12644196,19.5114212,,2020-01-17 00:46:54+00:00,4.441456868,<heartrate>107</heartrate>
-99.12645721,19.51138687,,2020-01-17 00:46:55+00:00,3.822504195,<heartrate>107</heartrate>
-99.1264801,19.51136398,,2020-01-17 00:46:56+00:00,3.515791708,<heartrate>104</heartrate>
-99.12651062,19.51135063,,2020-01-17 00:46:57+00:00,3.366177736,<heartrate>104</heartrate>
-99.12654114,19.51135063,,2020-01-17 00:46:58+00:00,2.843371963,<heartrate>100</heartrate>
-99.12656403,19.51135635,,2020-01-17 00:46:59+00:00,3.007431464,<heartrate>100</heartrate>
-99.12659454,19.51136971,,2020-01-17 00:47:00+00:00,2.857410185,<heartrate>101</heartrate>
-99.1266098,19.51138306,2271.240234,2020-01-17 00:47:01+00:00,2.052817227,<heartrate>101</heartrate>
-99.12662506,19.51139259,2271.240234,2020-01-17 00:47:02+00:00,1.360790209,<heartrate>101</heartrate>
-99.12663269,19.51139259,2271.240234,2020-01-17 00:47:03+00:00,5.854059545,<heartrate>101</heartrate>
-99.12635803,19.51125336,2271.240234,2020-01-17 00:47:06+00:00,5.559961063,<heartrate>102</heartrate>
-99.12635803,19.51125526,2271.240234,2020-01-17 00:47:07+00:00,0.636975236,<heartrate>102</heartrate>
-99.12635803,19.5112648,2271.240234,2020-01-17 00:47:08+00:00,1.623104768,<heartrate>102</heartrate>
-99.12637329,19.51127815,2271.240234,2020-01-17 00:47:09+00:00,1.844588161,<heartrate>102</heartrate>
-99.12638092,19.5112896,2271.240234,2020-01-17 00:47:10+00:00,1.417107467,<heartrate>103</heartrate>
-99.12638855,19.51129913,2271.240234,2020-01-17 00:47:11+00:00,0.877136409,<heartrate>103</heartrate>
-99.12638855,19.51130295,2271.240234,2020-01-17 00:47:12+00:00,0.530812696,<heartrate>103</heartrate>
-99.12638855,19.51130867,2271.240234,2020-01-17 00:47:13+00:00,0.771581324,<heartrate>103</heartrate>
-99.12638092,19.51131248,2271.240234,2020-01-17 00:47:14+00:00,0.85335856,<heartrate>102</heartrate>
-99.12637329,19.51131248,2271.240234,2020-01-17 00:47:15+00:00,0.911778618,<heartrate>102</heartrate>
-99.12636566,19.51131821,2271.240234,2020-01-17 00:47:16+00:00,0.740738777,<heartrate>101</heartrate>
-99.12633514,19.5113163,2271.240234,2020-01-17 00:47:23+00:00,0.411716806,<heartrate>100</heartrate>
-99.12637329,19.51133919,2271.240234,2020-01-17 00:47:36+00:00,0.305138935,<heartrate>97</heartrate>
-99.1263504,19.51145172,2271.240234,2020-01-17 00:48:28+00:00,0.340893682,<heartrate>101</heartrate>
-99.1264801,19.51152229,2271.240234,2020-01-17 00:49:04+00:00,0.819072052,<heartrate>115</heartrate>
-99.12652588,19.51155472,2271.240234,2020-01-17 00:49:09+00:00,1.087035331,<heartrate>111</heartrate>
-99.12656403,19.51157951,2271.240234,2020-01-17 00:49:14+00:00,0.747422698,<heartrate>114</heartrate>
-99.12661743,19.51156807,2271.240234,2020-01-17 00:49:25+00:00,0.549544976,<heartrate>115</heartrate>
-99.12667084,19.51154137,2271.240234,2020-01-17 00:49:36+00:00,0.60405055,<heartrate>112</heartrate>
-99.12670898,19.51150513,2271.240234,2020-01-17 00:49:45+00:00,0.69186647,<heartrate>111</heartrate>
-99.12667847,19.51145935,2271.240234,2020-01-17 00:49:53+00:00,0.852261936,<heartrate>110</heartrate>
-99.12662506,19.51142693,2271.240234,2020-01-17 00:50:00+00:00,0.851111671,<heartrate>111</heartrate>
-99.12658691,19.51139641,2271.240234,2020-01-17 00:50:07+00:00,0.782382048,<heartrate>114</heartrate>
-99.12653351,19.51138687,2271.240234,2020-01-17 00:50:14+00:00,0.778676206,<heartrate>113</heartrate>
-99.12647247,19.51136971,2271.240234,2020-01-17 00:50:23+00:00,0.775814833,<heartrate>110</heartrate>
-99.12644196,19.51132774,2271.240234,2020-01-17 00:50:30+00:00,0.834293987,<heartrate>110</heartrate>
-99.1264267,19.51126862,2270.05835,2020-01-17 00:50:38+00:00,1.013739423,<heartrate>113</heartrate>
-99.12639618,19.51122475,2270.05835,2020-01-17 00:50:43+00:00,1.284620923,<heartrate>113</heartrate>
-99.12637329,19.51116562,2270.05835,2020-01-17 00:50:48+00:00,1.375914052,<heartrate>115</heartrate>
-99.12634277,19.51111221,2270.05835,2020-01-17 00:50:53+00:00,1.250055436,<heartrate>116</heartrate>
-99.12632751,19.51106262,2270.05835,2020-01-17 00:50:58+00:00,1.255051026,<heartrate>116</heartrate>
-99.12630463,19.51101875,2270.05835,2020-01-17 00:51:02+00:00,1.345069021,<heartrate>115</heartrate>
-99.12626648,19.51097107,2270.05835,2020-01-17 00:51:07+00:00,1.213763036,<heartrate>118</heartrate>
-99.12623596,19.51093102,2270.05835,2020-01-17 00:51:12+00:00,0.978163993,<heartrate>116</heartrate>
-99.12620544,19.51089478,2270.05835,2020-01-17 00:51:18+00:00,0.916130333,<heartrate>115</heartrate>
