Longitude,Latitude,Altitude,Time,Speed,HeartRate
-99.12602997,19.5108757,2249.577393,2020-01-17 00:25:26+00:00,1.255649362,<heartrate>107</heartrate>
-99.12596893,19.51087952,2249.577393,2020-01-17 00:25:31+00:00,1.104678378,<heartrate>106</heartrate>
-99.12593079,19.51092529,2249.577393,2020-01-17 00:25:38+00:00,1.008935317,<heartrate>104</heartrate>
-99.12587738,19.51095581,2249.577393,2020-01-17 00:25:44+00:00,1.055326643,<heartrate>105</heartrate>
-99.1259079,19.51101303,2249.577393,2020-01-17 00:25:51+00:00,1.253257088,<heartrate>106</heartrate>
-99.12592316,19.51106453,2249.577393,2020-01-17 00:25:55+00:00,1.336425686,<heartrate>108</heartrate>
-99.12593079,19.51110649,2249.577393,2020-01-17 00:25:59+00:00,1.212324243,<heartrate>108</heartrate>
-99.12590027,19.51115417,2249.577393,2020-01-17 00:26:04+00:00,0.916015589,<heartrate>109</heartrate>
-99.12588501,19.51119423,2249.577393,2020-01-17 00:26:12+00:00,0.853901808,<heartrate>113</heartrate>
-99.12593079,19.51124954,2249.577393,2020-01-17 00:26:19+00:00,1.032669159,<heartrate>114</heartrate>
-99.12596893,19.51129723,2249.577393,2020-01-17 00:26:26+00:00,1.365099113,<heartrate>111</heartrate>
-99.12598419,19.511343,2249.577393,2020-01-17 00:26:29+00:00,1.845603167,<heartrate>111</heartrate>
-99.12593842,19.51139641,2249.577393,2020-01-17 00:26:33+00:00,1.575949533,<heartrate>113</heartrate>
-99.12589264,19.51140022,2250.759277,2020-01-17 00:26:37+00:00,1.264702233,<heartrate>115</heartrate>
-99.12585449,19.51135635,2252.031982,2020-01-17 00:26:42+00:00,1.724096046,<heartrate>115</heartrate>
-99.12581635,19.51131058,2252.031982,2020-01-17 00:26:45+00:00,1.494686797,<heartrate>115</heartrate>
-99.12600708,19.51122093,2253.213867,2020-01-17 00:27:12+00:00,1.184182765,<heartrate>121</heartrate>
-99.1262207,19.51131248,2253.213867,2020-01-17 00:27:28+00:00,1.350614973,<heartrate>125</heartrate>
-99.12628174,19.51133728,2253.213867,2020-01-17 00:27:34+00:00,1.109754533,<heartrate>127</heartrate>
-99.12633514,19.51136398,2253.213867,2020-01-17 00:27:40+00:00,1.096902819,<heartrate>130</heartrate>
-99.12637329,19.51140022,2253.213867,2020-01-17 00:27:45+00:00,1.07980716,<heartrate>132</heartrate>
-99.12641144,19.51142883,2253.213867,2020-01-17 00:27:50+00:00,1.134762314,<heartrate>131</heartrate>
-99.12645721,19.51148033,2253.213867,2020-01-17 00:27:56+00:00,1.353208994,<heartrate>130</heartrate>
-99.12648773,19.5115242,2253.213867,2020-01-17 00:28:00+00:00,1.331981879,<heartrate>130</heartrate>
-99.12651062,19.51157379,2253.213867,2020-01-17 00:28:05+00:00,1.314954134,<heartrate>131</heartrate>
-99.12654114,19.51163101,2253.213867,2020-01-17 00:28:10+00:00,1.487829001,<heartrate>131</heartrate>
-99.12657166,19.5116787,2253.213867,2020-01-17 00:28:14+00:00,1.435816401,<heartrate>130</heartrate>
-99.12659454,19.51173401,2253.213867,2020-01-17 00:28:19+00:00,1.38918638,<heartrate>128</heartrate>
-99.12657166,19.51178169,2253.213867,2020-01-17 00:28:23+00:00,1.129577957,<heartrate>128</heartrate>
-99.12654114,19.51181221,2252.031982,2020-01-17 00:28:29+00:00,0.528443968,<heartrate>129</heartrate>
-99.12652588,19.51180458,2249.577393,2020-01-17 00:28:41+00:00,0.297819129,<heartrate>130</heartrate>
-99.12651825,19.51177216,2247.122803,2020-01-17 00:28:54+00:00,0.62862772,<heartrate>126</heartrate>
-99.12647247,19.51173401,2247.122803,2020-01-17 00:29:01+00:00,1.015760425,<heartrate>124</heartrate>
-99.12646484,19.51168442,2247.122803,2020-01-17 00:29:06+00:00,1.208635971,<heartrate>127</heartrate>
-99.12648773,19.51161766,2247.122803,2020-01-17 00:29:12+00:00,1.301633419,<heartrate>127</heartrate>
