Longitude,Latitude,Altitude,Time,Speed,HeartRate
-99.12650299,19.51152611,,2020-01-17 00:34:29+00:00,5.341402573,<heartrate>83</heartrate>
-99.12648773,19.51157188,,2020-01-17 00:34:30+00:00,2.776863758,<heartrate>83</heartrate>
-99.12648773,19.51157379,,2020-01-17 00:34:31+00:00,0.689719904,<heartrate>85</heartrate>
-99.1264801,19.51158142,,2020-01-17 00:34:32+00:00,1.114370048,<heartrate>85</heartrate>
-99.1264801,19.51159096,,2020-01-17 00:34:33+00:00,1.042325913,<heartrate>82</heartrate>
-99.12647247,19.51159668,,2020-01-17 00:34:34+00:00,1.45040746,<heartrate>82</heartrate>
-99.12646484,19.51161194,,2020-01-17 00:34:35+00:00,1.877788476,<heartrate>75</heartrate>
-99.12645721,19.5116272,,2020-01-17 00:34:36+00:00,1.877788444,<heartrate>75</heartrate>
-99.12644958,19.51164246,,2020-01-17 00:34:37+00:00,1.603705025,<heartrate>75</heartrate>
-99.12644196,19.51165199,,2020-01-17 00:34:38+00:00,1.368981451,<heartrate>75</heartrate>
-99.12641907,19.51169777,2228.280029,2020-01-17 00:34:42+00:00,1.712846655,<heartrate>75</heartrate>
-99.12638092,19.51176071,2228.280029,2020-01-17 00:34:46+00:00,2.743744737,<heartrate>75</heartrate>
-99.1263504,19.51181602,2228.280029,2020-01-17 00:34:48+00:00,2.955009975,<heartrate>76</heartrate>
-99.12631989,19.51187515,2228.280029,2020-01-17 00:34:51+00:00,1.968921988,<heartrate>80</heartrate>
-99.12628174,19.51191521,2228.280029,2020-01-17 00:34:55+00:00,2.356655168,<heartrate>79</heartrate>
-99.12625885,19.51183128,2228.280029,2020-01-17 00:34:58+00:00,3.412437708,<heartrate>77</heartrate>
-99.12625885,19.51176643,2228.280029,2020-01-17 00:35:00+00:00,3.184876179,<heartrate>77</heartrate>
-99.12625885,19.51171684,2228.280029,2020-01-17 00:35:02+00:00,2.448754956,<heartrate>79</heartrate>
-99.12628174,19.51166344,2228.280029,2020-01-17 00:35:05+00:00,1.70803334,<heartrate>80</heartrate>
-99.12631989,19.51163483,2228.280029,2020-01-17 00:35:09+00:00,1.824074776,<heartrate>82</heartrate>
-99.12638855,19.51157951,2228.280029,2020-01-17 00:35:13+00:00,2.13231698,<heartrate>85</heartrate>
-99.12647247,19.51140976,2228.280029,2020-01-17 00:35:24+00:00,1.345798399,<heartrate>88</heartrate>
-99.12651062,19.51135635,2228.280029,2020-01-17 00:35:33+00:00,0.550828061,<heartrate>85</heartrate>
-99.12653351,19.51130295,2228.280029,2020-01-17 00:35:54+00:00,0.444415658,<heartrate>94</heartrate>
-99.12648773,19.51128387,2228.280029,2020-01-17 00:36:03+00:00,1.004685272,<heartrate>91</heartrate>
-99.12645721,19.51134109,2228.280029,2020-01-17 00:36:08+00:00,1.436482795,<heartrate>100</heartrate>
-99.12646484,19.51139259,2228.280029,2020-01-17 00:36:12+00:00,1.037578811,<heartrate>97</heartrate>
-99.12646484,19.51143646,2227.098145,2020-01-17 00:36:20+00:00,1.035934011,<heartrate>103</heartrate>
-99.12646484,19.51150131,2227.098145,2020-01-17 00:36:25+00:00,1.25622634,<heartrate>95</heartrate>
-99.12648773,19.51155472,2227.098145,2020-01-17 00:36:31+00:00,0.845945339,<heartrate>96</heartrate>
-99.12651825,19.51158905,2227.098145,2020-01-17 00:36:39+00:00,0.779748934,<heartrate>97</heartrate>
-99.12656403,19.5116291,2227.098145,2020-01-17 00:36:46+00:00,0.938839872,<heartrate>101</heartrate>
-99.1266098,19.5116024,2227.098145,2020-01-17 00:36:52+00:00,0.942658608,<heartrate>100</heartrate>
-99.12664032,19.51156044,2227.098145,2020-01-17 00:36:58+00:00,0.925447879,<heartrate>100</heartrate>
-99.12666321,19.51151657,2227.098145,2020-01-17 00:37:04+00:00,0.897468341,<heartrate>101</heartrate>
-99.1266861,19.51146507,2227.098145,2020-01-17 00:37:11+00:00,0.994730488,<heartrate>101</heartrate>
-99.12666321,19.51140976,2227.098145,2020-01-17 00:37:17+00:00,1.024344692,<heartrate>103</heartrate>
-99.12662506,19.51137352,2227.098145,2020-01-17 00:37:23+00:00,0.902739427,<heartrate>105</heartrate>
-99.12657928,19.51134109,2227.098145,2020-01-17 00:37:30+00:00,0.859940404,<heartrate>105</heartrate>
-99.12653351,19.51132393,2227.098145,2020-01-17 00:37:36+00:00,0.755360649,<heartrate>107</heartrate>
-99.12647247,19.51131439,2227.098145,2020-01-17 00:37:46+00:00,0.836095442,<heartrate>108</heartrate>
-99.1264267,19.51128006,2227.098145,2020-01-17 00:37:52+00:00,1.132438603,<heartrate>114</heartrate>
-99.12641907,19.51122475,2227.098145,2020-01-17 00:37:57+00:00,1.502463571,<heartrate>114</heartrate>
-99.12641144,19.5111618,2227.098145,2020-01-17 00:38:01+00:00,1.552557846,<heartrate>113</heartrate>
-99.12640381,19.51111412,2227.098145,2020-01-17 00:38:05+00:00,1.440633798,<heartrate>113</heartrate>
-99.12638855,19.51106071,2227.098145,2020-01-17 00:38:09+00:00,1.405832561,<heartrate>110</heartrate>
-99.12637329,19.5110054,2227.098145,2020-01-17 00:38:14+00:00,1.232775202,<heartrate>108</heartrate>
-99.12632751,19.51095772,2227.098145,2020-01-17 00:38:20+00:00,1.128384767,<heartrate>108</heartrate>
-99.126297,19.51090813,2227.098145,2020-01-17 00:38:26+00:00,1.132654429,<heartrate>109</heartrate>
-99.12625122,19.5108757,2227.098145,2020-01-17 00:38:31+00:00,1.106740992,<heartrate>113</heartrate>
-99.12619781,19.51085472,2227.098145,2020-01-17 00:38:37+00:00,2.064132944,<heartrate>110</heartrate>
-99.1261673,19.51080704,2244.739258,2020-01-17 00:38:43+00:00,2.019405975,<heartrate>109</heartrate>
-99.12612915,19.51077271,2244.739258,2020-01-17 00:38:49+00:00,1.179526011,<heartrate>108</heartrate>
-99.12607574,19.51078415,2244.739258,2020-01-17 00:38:53+00:00,1.665076236,<heartrate>109</heartrate>
-99.12600708,19.51080513,2244.739258,2020-01-17 00:38:57+00:00,1.948115996,<heartrate>108</heartrate>
-99.1259613,19.51083755,2244.739258,2020-01-17 00:39:00+00:00,1.822185886,<heartrate>109</heartrate>
-99.12593079,19.51088905,2244.739258,2020-01-17 00:39:04+00:00,1.461992706,<heartrate>109</heartrate>
-99.1259079,19.51094246,2244.739258,2020-01-17 00:39:09+00:00,1.136610781,<heartrate>108</heartrate>
-99.1259079,19.51099586,2244.739258,2020-01-17 00:39:15+00:00,1.153632927,<heartrate>107</heartrate>
-99.1259079,19.51105499,2244.739258,2020-01-17 00:39:20+00:00,1.454426788,<heartrate>107</heartrate>
-99.1259079,19.51111221,2244.739258,2020-01-17 00:39:24+00:00,1.438623505,<heartrate>109</heartrate>
-99.12589264,19.51115608,2244.739258,2020-01-17 00:39:28+00:00,1.262322157,<heartrate>113</heartrate>
-99.12586212,19.51120377,2244.739258,2020-01-17 00:39:33+00:00,0.850643084,<heartrate>113</heartrate>
-99.1258316,19.51120758,2244.739258,2020-01-17 00:39:40+00:00,0.480010777,<heartrate>115</heartrate>
-99.12586975,19.51123428,2244.739258,2020-01-17 00:39:50+00:00,1.016556197,<heartrate>120</heartrate>
-99.12591553,19.51126862,2244.739258,2020-01-17 00:39:54+00:00,0.864371627,<heartrate>121</heartrate>
-99.12605286,19.51128769,2244.739258,2020-01-17 00:41:09+00:00,0.820805848,<heartrate>139</heartrate>
-99.12620544,19.51145554,2244.739258,2020-01-17 00:41:26+00:00,1.253886102,<heartrate>140</heartrate>
-99.1262207,19.51151085,2244.739258,2020-01-17 00:41:32+00:00,1.10051917,<heartrate>140</heartrate>
