X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,heartrate,ns3_TrackPointExtension
-99.1257934570312,19.5110912322998,0,0,39,2273.23193359375,2020/01/10 23:38:51+00,,,,,,,,,,,,,,,,,,,,,,115,0
-99.1257781982422,19.5111465454102,0,0,40,2274.41381835938,2020/01/10 23:38:58+00,,,,,,,,,,,,,,,,,,,,,,114,0
-99.1257781982422,19.511194229126,0,0,41,2274.41381835938,2020/01/10 23:39:04+00,,,,,,,,,,,,,,,,,,,,,,114,0
-99.1257705688477,19.5112476348877,0,0,42,2274.41381835938,2020/01/10 23:39:10+00,,,,,,,,,,,,,,,,,,,,,,114,0
-99.1257858276367,19.5112953186035,0,0,43,2274.41381835938,2020/01/10 23:39:16+00,,,,,,,,,,,,,,,,,,,,,,114,0
-99.1257934570312,19.5113468170166,0,0,44,2274.41381835938,2020/01/10 23:39:22+00,,,,,,,,,,,,,,,,,,,,,,113,0
-99.126106262207,19.5112457275391,0,0,45,2274.41381835938,2020/01/10 23:39:50+00,,,,,,,,,,,,,,,,,,,,,,105,0
-99.1263809204102,19.5113525390625,0,0,46,2274.41381835938,2020/01/10 23:40:07+00,,,,,,,,,,,,,,,,,,,,,,98,0
-99.1264419555664,19.5113697052002,0,0,47,2274.41381835938,2020/01/10 23:40:19+00,,,,,,,,,,,,,,,,,,,,,,96,0
-99.1265029907227,19.5113964080811,0,0,48,2274.41381835938,2020/01/10 23:40:25+00,,,,,,,,,,,,,,,,,,,,,,102,0
